1 1:6017 2:3133 3:6017 4:3133 5:6017 6:3133 7:260 8:157 9:260 10:157 11:260 12:157 13:5815 14:2580 15:5815 16:2580 17:5815 18:2580 19:5960 20:2690 21:5960 22:2690 23:5960 24:2690 25:7688 26:4279 27:7688 28:4279 29:7688 30:4279 31:6651 32:2919 33:6651 34:2919 35:6651 36:2919 37:6850 38:4252 39:6850 40:4252 41:6850 42:4252 43:0 44:12 45:0 46:12 47:0 48:12 49:10000 50:2973 51:10000 52:2973 53:10000 54:2973 
1 1:273 2:403 3:273 4:403 5:273 6:403 7:4398 8:1642 9:4398 10:1642 11:4398 12:1642 13:367 14:266 15:367 16:266 17:367 18:266 19:4534 20:1458 21:4534 22:1458 23:4534 24:1458 25:204 26:171 27:204 28:171 29:204 30:171 31:4054 32:1341 33:4054 34:1341 35:4054 36:1341 37:4953 38:2381 39:4953 40:2381 41:4953 42:2381 43:0 44:1328 45:0 46:1328 47:0 48:1328 49:6712 50:1653 51:6712 52:1653 53:6712 54:1653 
1 1:305 2:382 3:305 4:382 5:305 6:382 7:259 8:188 9:259 10:188 11:259 12:188 13:175 14:162 15:175 16:162 17:175 18:162 19:197 20:157 21:197 22:157 23:197 24:157 25:109 26:46 27:109 28:46 29:109 30:46 31:47 32:226 33:47 34:226 35:47 36:226 37:139 38:653 39:139 40:653 41:139 42:653 43:0 44:3249 45:0 46:3249 47:0 48:3249 49:155 50:608 51:155 52:608 53:155 54:608 
1 1:122 2:319 3:122 4:319 5:122 6:319 7:178 8:291 9:178 10:291 11:178 12:291 13:109 14:120 15:109 16:120 17:109 18:120 19:13 20:0 21:13 22:0 23:13 24:0 25:30 26:181 27:30 28:181 29:30 30:181 31:108 32:97 33:108 34:97 35:108 36:97 37:0 38:581 39:0 40:581 41:0 42:581 43:0 44:97 45:0 46:97 47:0 48:97 49:0 50:495 51:0 52:495 53:0 54:495 
1 1:351 2:340 3:351 4:340 5:351 6:340 7:8849 8:6608 9:8849 10:6608 11:8849 12:6608 13:172 14:153 15:172 16:153 17:172 18:153 19:8558 20:6346 21:8558 22:6346 23:8558 24:6346 25:8945 26:6649 27:8945 28:6649 29:8945 30:6649 31:9291 32:7130 33:9291 34:7130 35:9291 36:7130 37:10000 38:7616 39:10000 40:7616 41:10000 42:7616 43:0 44:5101 45:0 46:5101 47:0 48:5101 49:5448 50:9368 51:5448 52:9368 53:5448 54:9368 
1 1:356 2:387 3:356 4:387 5:356 6:387 7:204 8:166 9:204 10:166 11:204 12:166 13:226 14:89 15:226 16:89 17:226 18:89 19:9142 20:7582 21:9142 22:7582 23:9142 24:7582 25:45 26:0 27:45 28:0 29:45 30:0 31:9040 32:6376 33:9040 34:6376 35:9040 36:6376 37:10000 38:7616 39:10000 40:7616 41:10000 42:7616 43:0 44:5101 45:0 46:5101 47:0 48:5101 49:5448 50:9368 51:5448 52:9368 53:5448 54:9368 
1 1:122 2:319 3:122 4:319 5:122 6:319 7:178 8:291 9:178 10:291 11:178 12:291 13:109 14:120 15:109 16:120 17:109 18:120 19:13 20:0 21:13 22:0 23:13 24:0 25:30 26:181 27:30 28:181 29:30 30:181 31:108 32:97 33:108 34:97 35:108 36:97 37:0 38:581 39:0 40:581 41:0 42:581 43:0 44:97 45:0 46:97 47:0 48:97 49:0 50:495 51:0 52:495 53:0 54:495 
1 1:110 2:338 3:110 4:338 5:110 6:338 7:9649 8:8527 9:9649 10:8527 11:9649 12:8527 13:99 14:26 15:99 16:26 17:99 18:26 19:8 20:33 21:8 22:33 23:8 24:33 25:10000 26:10000 27:10000 28:10000 29:10000 30:10000 31:58 32:0 33:58 34:0 35:58 36:0 37:0 38:581 39:0 40:581 41:0 42:581 43:0 44:97 45:0 46:97 47:0 48:97 49:0 50:495 51:0 52:495 53:0 54:495 
1 1:9444 2:9037 3:9444 4:9037 5:9444 6:9037 7:186 8:270 9:186 10:270 11:186 12:270 13:9435 14:7945 15:9435 16:7945 17:9435 18:7945 19:9607 20:9838 21:9607 22:9838 23:9607 24:9838 25:64 26:158 27:64 28:158 29:64 30:158 31:9909 32:9073 33:9909 34:9073 35:9909 36:9073 37:28 38:603 39:28 40:603 41:28 42:603 43:0 44:5042 45:0 46:5042 47:0 48:5042 49:396 50:595 51:396 52:595 53:396 54:595 
1 1:154 2:369 3:154 4:369 5:154 6:369 7:7455 8:4732 9:7455 10:4732 11:7455 12:4732 13:168 14:145 15:168 16:145 17:168 18:145 19:161 20:98 21:161 22:98 23:161 24:98 25:60 26:99 27:60 28:99 29:60 30:99 31:33 32:204 33:33 34:204 35:33 36:204 37:8409 38:10000 39:8409 40:10000 41:8409 42:10000 43:0 44:3429 45:0 46:3429 47:0 48:3429 49:2190 50:10000 51:2190 52:10000 53:2190 54:10000 
1 1:6466 2:3505 3:6466 4:3505 5:6466 6:3505 7:348 8:254 9:348 10:254 11:348 12:254 13:5646 14:2756 15:5646 16:2756 17:5646 18:2756 19:6491 20:3126 21:6491 22:3126 23:6491 24:3126 25:5640 26:2337 27:5640 28:2337 29:5640 30:2337 31:6283 32:3002 33:6283 34:3002 35:6283 36:3002 37:134 38:762 39:134 40:762 41:134 42:762 43:0 44:64 45:0 46:64 47:0 48:64 49:275 50:676 51:275 52:676 53:275 54:676 
